gCSI.CellLineName	gCSI.PrimaryTissue	gCSI.Norm_CellLineName	sampleid
NCI-H2228	Lung	NCIH2228	NCI-H2228
HCC366	Lung	HCC366	HCC366
NCI-H1915	Lung	NCIH1915	NCI-H1915
NCI-H1581	Lung	NCIH1581	NCI-H1581
NCI-H1573	Lung	NCIH1573	NCI-H1573
NCI-H82	Lung	NCIH82	NCI-H82
NCI-H1155	Lung	NCIH1155	NCI-H1155
SCLC-21H	Lung	SCLC21H	SCLC-21H
NCI-H2444	Lung	NCIH2444	NCI-H2444
UMC-11	Lung	UMC11	UMC-11
NCI-H841	Lung	NCIH841	NCI-H841
NCI-H522	Lung	NCIH522	NCI-H522
NCI-H446	Lung	NCIH446	NCI-H446
NCI-H1648	Lung	NCIH1648	NCI-H1648
NCI-H2172	Lung	NCIH2172	NCI-H2172
NCI-H1563	Lung	NCIH1563	NCI-H1563
NCI-H1623	Lung	NCIH1623	NCI-H1623
NCI-H1869	Lung	NCIH1869	NCI-H1869
NCI-H2135	Lung	NCIH2135	NCI-H2135
NCI-H520	Lung	NCIH520	NCI-H520
ES-2	Ovary	ES2	ES-2
NCI-H2106	Lung	NCIH2106	NCI-H2106
SK-MES-1	Lung	SKMES1	SK-MES-1
MFM-223	Breast	MFM223	MFM-223
BT-474	Breast	BT474	BT-474
CI-1	Lymph Node	CI1	CI-1
NCI-H1666	Lung	NCIH1666	NCI-H1666
MDA-MB-453	Breast	MDAMB453	MDA-MB-453
NCI-H2171	Lung	NCIH2171	NCI-H2171
COLO 829	Skin	COLO829	COLO 829
MDA-MB-435	Skin	MDAMB435	MDA-MB-435
SW 48	Colon	SW48	SW 48
OUMS-23	Colon	OUMS23	OUMS-23
MeWo	Skin	MEWO	MeWo
COLO 201	Colon	COLO201	COLO 201
SK-OV-3	Ovary	SKOV3	SK-OV-3
C32	Skin	C32	C32
TOV-112D	Ovary	TOV112D	TOV-112D
HCC1187	Breast	HCC1187	HCC1187
U-2 OS	Bone	U2OS	U-2 OS
EFM-19	Breast	EFM19	EFM-19
HDQ-P1	Breast	HDQP1	HDQ-P1
CAL-148	Breast	CAL148	CAL-148
NCI-H1838	Lung	NCIH1838	NCI-H1838
VMRC-LCD	Lung	VMRCLCD	VMRC-LCD
NCI-H727	Lung	NCIH727	NCI-H727
CL-34	Colon	CL34	CL-34
SW 1463	Colon	SW1463	SW 1463
HeLa	Cervix	HELA	HeLa
A172	Brain	A172	A172
OVCAR-8	Ovary	OVCAR8	OVCAR-8
A2780	Ovary	A2780	A2780
KARPAS-1106P	Lymph Node	KARPAS1106P	KARPAS-1106P
OAW42	Ovary	OAW42	OAW42
OV56	Ovary	OV56	OV56
LS1034	Colon	LS1034	LS1034
SW 837	Colon	SW837	SW 837
DLD-1	Colon	DLD1	DLD-1
RKO	Colon	RKO	RKO
COLO 741	Colon	COLO741	COLO 741
C2BBe1	Colon	C2BBE1	C2BBe1
HPAC	Pancreas	HPAC	HPAC
GRANTA-519	Lymph Node	GRANTA519	GRANTA-519
HEL	Blood	HEL	HEL
A-431	Skin	A431	A-431
LS-180	Colon	LS180	LS-180
Hep G2	Liver	HEPG2	Hep G2
BxPC-3	Pancreas	BXPC3	BxPC-3
LNCAP clone FGC	Prostate	LNCAPCLONEFGC	LNCAP clone FGC
ML-2	Bone Marrow	ML2	ML-2
MIA Paca-2	Pancreas	MIAPACA2	MIA Paca-2
HT-29	Colon	HT29	HT-29
LoVo	Colon	LOVO	LoVo
COLO 205	Colon	COLO205	COLO 205
PANC-1	Pancreas	PANC1	PANC-1
PSN1	Pancreas	PSN1	PSN1
PC-3	Prostate	PC3	PC-3
SU.86.86	Pancreas	SU.86.86	SU.86.86
Capan-2	Pancreas	CAPAN2	Capan-2
Capan-1	Pancreas	CAPAN1	Capan-1
HPAF-II	Pancreas	HPAFII	HPAF-II
AsPC-1	Pancreas	ASPC1	AsPC-1
FaDu	Nasal Pharynx	FADU	FaDu
JHH-7	Liver	JHH7	JHH-7
NCI-H929	Bone Marrow	NCIH929	NCI-H929
Hs 766T	Pancreas	HS766T	Hs 766T
CAL 27	Tongue	CAL27	CAL 27
CL-11	Colon	CL11	CL-11
SW 620	Colon	SW620	SW 620
KM-12	Colon	KM12	KM-12
MHH-ES-1	Bone	MHHES1	MHH-ES-1
HUH-7	Liver	HUH7	HUH-7
LOX-IMVI	Skin	LOXIMVI	LOX-IMVI
HEY	Ovary	HEY	HEY
A-673	Skeletal Muscle	A673	A-673
EFO-27	Ovary	EFO27	EFO-27
IGROV-1	Ovary	IGROV1	IGROV-1
PE01	Ovary	PE01	PE01
SU-DHL-10	Pleura	SUDHL10	SU-DHL-10
Caki-2	Kidney	CAKI2	Caki-2
OVCA 420	Ovary	OVCA420	OVCA 420
TOV-21G	Ovary	TOV21G	TOV-21G
OV-90	Ovary	OV90	OV-90
NCI-H187	Lung	NCIH187	NCI-H187
NCI-H196	Lung	NCIH196	NCI-H196
SK-MEL-2	Skin	SKMEL2	SK-MEL-2
MEL-JUSO	Skin	MELJUSO	MEL-JUSO
SK-MEL-30	Skin	SKMEL30	SK-MEL-30
MOLM-16	Blood	MOLM16	MOLM-16
NCI-H716	Colon	NCIH716	NCI-H716
FU97	Stomach	FU97	FU97
RERF-GC-1B	Stomach	RERFGC1B	RERF-GC-1B
KATO III	Stomach	KATOIII	KATO III
PL-21	Blood	PL21	PL-21
COV362	Ovary	COV362	COV362
COV434	Ovary	COV434	COV434
SET-2	Blood	SET2	SET-2
TK-10	Kidney	TK10	TK-10
Hs 852.T	Skin	HS852.T	Hs 852.T
Caki-1	Kidney	CAKI1	Caki-1
SK-MEL-24	Skin	SKMEL24	SK-MEL-24
UM-UC-1	Urinary Bladder	UMUC1	UM-UC-1
MKN-45	Stomach	MKN45	MKN-45
TC-71	Bone	TC71	TC-71
SW 780	Urinary Bladder	SW780	SW 780
NCI-H146	Lung	NCIH146	NCI-H146
NCI-H889	Lung	NCIH889	NCI-H889
JHH-1	Liver	JHH1	JHH-1
JHH-2	Liver	JHH2	JHH-2
JHH-5	Liver	JHH5	JHH-5
Hep 3B2.1-7	Liver	HEP3B2.17	Hep 3B2.1-7
HT-55	Colon	HT55	HT-55
T84	Colon	T84	T84
NCI-H2110	Lung	NCIH2110	NCI-H2110
ACHN	Kidney	ACHN	ACHN
BFTC-909	Kidney	BFTC909	BFTC-909
C3A	Liver	C3A	C3A
CHP-212	Brain	CHP212	CHP-212
PA-1	Ovary	PA1	PA-1
SK-N-AS	Brain	SKNAS	SK-N-AS
NCI-N87	Stomach	NCIN87	NCI-N87
huH-1	Liver	HUH1	huH-1
HEC-1-A	Uterus	HEC1A	HEC-1-A
Ca Ski	Cervix	CASKI	Ca Ski
SiHa	Cervix	SIHA	SiHa
RL95-2	Uterus	RL952	RL95-2
JHH-4	Liver	JHH4	JHH-4
SNU-182	Liver	SNU182	SNU-182
KARPAS-620	Blood	KARPAS620	KARPAS-620
NALM-6	Blood	NALM6	NALM-6
G-402	Kidney	G402	G-402
CAL 54	Kidney	CAL54	CAL 54
Panc 03.27	Pancreas	PANC03.27	Panc 03.27
Panc 05.04	Pancreas	PANC05.04	Panc 05.04
KMS-11	Blood	KMS11	KMS-11
Panc 10.05	Pancreas	PANC10.05	Panc 10.05
K-562	Blood	K562	K-562
SNU-601	Stomach	SNU601	SNU-601
SNU-620	Stomach	SNU620	SNU-620
SNU-216	Stomach	SNU216	SNU-216
SW 948	Colon	SW948	SW 948
SNU-719	Stomach	SNU719	SNU-719
SNU-387	Liver	SNU387	SNU-387
SNU-398	Liver	SNU398	SNU-398
SNU-423	Liver	SNU423	SNU-423
SNU-449	Liver	SNU449	SNU-449
SNU-475	Liver	SNU475	SNU-475
HCT-8	Colon	HCT8	HCT-8
MDST8	Colon	MDST8	MDST8
SNU-668	Stomach	SNU668	SNU-668
BHY	Oral Cavity	BHY	BHY
BICR 10	Oral Cavity	BICR10	BICR 10
BICR 22	Tongue	BICR22	BICR 22
HN	Oral Cavity	HN	HN
PE/CA-PJ15	Tongue	PE/CAPJ15	PE/CA-PJ15
COLO 320HSR	Colon	COLO320HSR	COLO 320HSR
PA-TU-8988T	Pancreas	PATU8988T	PA-TU-8988T
MOLM-13	Blood	MOLM13	MOLM-13
MV-4-11	Blood	MV411	MV-4-11
NOMO-1	Blood	NOMO1	NOMO-1
OCI-AML3	Blood	OCIAML3	OCI-AML3
OCI-M1	Blood	OCIM1	OCI-M1
SKM-1	Blood	SKM1	SKM-1
SUP-B15	Blood	SUPB15	SUP-B15
MKN-74	Stomach	MKN74	MKN-74
NUGC-3	Stomach	NUGC3	NUGC-3
NUGC-4	Stomach	NUGC4	NUGC-4
SNU-16	Stomach	SNU16	SNU-16
MKN-1	Stomach	MKN1	MKN-1
AN3 CA	Uterus	AN3CA	AN3 CA
C-33 A	Cervix	C33A	C-33 A
HEC-1-B	Uterus	HEC1B	HEC-1-B
IMR-32	Brain	IMR32	IMR-32
KELLY	Brain	KELLY	KELLY
MS751	Cervix	MS751	MS751
RT-112	Urinary Bladder	RT112	RT-112
RT4	Urinary Bladder	RT4	RT4
SK-N-DZ	Brain	SKNDZ	SK-N-DZ
SK-N-FI	Brain	SKNFI	SK-N-FI
EPLC-272H	Lung	EPLC272H	EPLC-272H
KLE	Uterus	KLE	KLE
ME-180	Cervix	ME180	ME-180
OCUM-1	Stomach	OCUM1	OCUM-1
T98G	Brain	T98G	T98G
OV7	Ovary	OV7	OV7
COR-L279	Lung	CORL279	COR-L279
COR-L47	Lung	CORL47	COR-L47
COR-L88	Lung	CORL88	COR-L88
EB2	Lymph Node	EB2	EB2
SNU-C1	Colon	SNUC1	SNU-C1
WM-115	Skin	WM115	WM-115
OCI-AML5	Blood	OCIAML5	OCI-AML5
HUP-T4	Pancreas	HUPT4	HUP-T4
YMB-1-E	Breast	YMB1E	YMB-1-E
HT-115	Colon	HT115	HT-115
GP2d	Colon	GP2D	GP2d
GP5d	Colon	GP5D	GP5d
KMM-1	Blood	KMM1	KMM-1
KMS-21BM	Blood	KMS21BM	KMS-21BM
KMS-27	Blood	KMS27	KMS-27
KMS-34	Blood	KMS34	KMS-34
EJM	Blood	EJM	EJM
AMO-1	Blood	AMO1	AMO-1
JJN-3	Blood	JJN3	JJN-3
L-363	Blood	L363	L-363
KMS-12-BM	Blood	KMS12BM	KMS-12-BM
RPMI 8226	Blood	RPMI8226	RPMI 8226
U266B1	Blood	U266B1	U266B1
MOLP-8	Blood	MOLP8	MOLP-8
HGC-27	Stomach	HGC27	HGC-27
KHM-1B	Blood	KHM1B	KHM-1B
PK-45H	Pancreas	PK45H	PK-45H
QGP-1	Pancreas	QGP1	QGP-1
KU812	Blood	KU812	KU812
KMS-26	Blood	KMS26	KMS-26
DAN-G	Pancreas	DANG	DAN-G
PA-TU-8988S	Pancreas	PATU8988S	PA-TU-8988S
TCC-PAN2	Pancreas	TCCPAN2	TCC-PAN2
YAPC	Pancreas	YAPC	YAPC
IGR-37	Skin	IGR37	IGR-37
HMVII	Skin	HMVII	HMVII
HT-3	Cervix	HT3	HT-3
IGR-39	Skin	IGR39	IGR-39
MC-IXC	Brain	MCIXC	MC-IXC
A-498	Kidney	A498	A-498
CaR-1	Colon	CAR1	CaR-1
CW-2	Colon	CW2	CW-2
SW 626	Ovary	SW626	SW 626
SK-N-SH	Brain	SKNSH	SK-N-SH
SK-N-BE(2)	Brain	SKNBE(2)	SK-N-BE(2)
SK-MEL-3	Skin	SKMEL3	SK-MEL-3
SK-HEP-1	Liver	SKHEP1	SK-HEP-1
RVH-421	Skin	RVH421	RVH-421
RCM-1	Colon	RCM1	RCM-1
OVCAR-5	Ovary	OVCAR5	OVCAR-5
OVCAR-4	Ovary	OVCAR4	OVCAR-4
OE33	Esophagus	OE33	OE33
OE21	Esophagus	OE21	OE21
OE19	Esophagus	OE19	OE19
NCI-H2052	Pleura	NCIH2052	NCI-H2052
COLO 680N	Esophagus	COLO680N	COLO 680N
KYSE-140	Esophagus	KYSE140	KYSE-140
KYSE-150	Esophagus	KYSE150	KYSE-150
KYSE-180	Esophagus	KYSE180	KYSE-180
KYSE-270	Esophagus	KYSE270	KYSE-270
KYSE-30	Esophagus	KYSE30	KYSE-30
KYSE-450	Esophagus	KYSE450	KYSE-450
KYSE-510	Esophagus	KYSE510	KYSE-510
KYSE-520	Esophagus	KYSE520	KYSE-520
KURAMOCHI	Ovary	KURAMOCHI	KURAMOCHI
MCAS	Ovary	MCAS	MCAS
OVISE	Ovary	OVISE	OVISE
OVSAHO	Ovary	OVSAHO	OVSAHO
OVTOKO	Ovary	OVTOKO	OVTOKO
RKN	Ovary	RKN	RKN
RMG-I	Ovary	RMGI	RMG-I
TYK-nu	Ovary	TYKNU	TYK-nu
NCI-H28	Pleura	NCIH28	NCI-H28
ONCO-DG-1	Ovary	ONCODG1	ONCO-DG-1
HLF	Liver	HLF	HLF
FTC-133	Thyroid	FTC133	FTC-133
CCF-STTG1	Brain	CCFSTTG1	CCF-STTG1
COLO 684	Uterus	COLO684	COLO 684
FTC-238	Thyroid	FTC238	FTC-238
KE-39	Stomach	KE39	KE-39
Li-7	Liver	LI7	Li-7
NB69	Brain	NB69	NB69
KE-97	Stomach	KE97	KE-97
CGTH-W-1	Thyroid	CGTHW1	CGTH-W-1
B-CPAP	Thyroid	BCPAP	B-CPAP
GOS-3	Brain	GOS3	GOS-3
KYSE-410	Esophagus	KYSE410	KYSE-410
KALS-1	Brain	KALS1	KALS-1
Malme-3M	Skin	MALME3M	Malme-3M
SISO	Cervix	SISO	SISO
8305C	Thyroid	8305C	8305C
T.T	Esophagus	T.T	T.T
KP-N-YN	Brain	KPNYN	KP-N-YN
KMRC-20	Kidney	KMRC20	KMRC-20
KNS-81	Brain	KNS81	KNS-81
NB-1	Brain	NB1	NB-1
NB(TU)1-10	Brain	NB(TU)110	NB(TU)1-10
G-401	Kidney	G401	G-401
HEC-108	Uterus	HEC108	HEC-108
GB-1	Brain	GB1	GB-1
SIMA	Brain	SIMA	SIMA
HEC-251	Uterus	HEC251	HEC-251
AM-38	Brain	AM38	AM-38
ASH-3	Thyroid	ASH3	ASH-3
8505C	Thyroid	8505C	8505C
HEC-151	Uterus	HEC151	HEC-151
HEC-6	Uterus	HEC6	HEC-6
HEC-59	Uterus	HEC59	HEC-59
HEC-265	Uterus	HEC265	HEC-265
HEC-50B	Uterus	HEC50B	HEC-50B
ONS-76	Brain	ONS76	ONS-76
KINGS-1	Brain	KINGS1	KINGS-1
KMRC-1	Kidney	KMRC1	KMRC-1
SKG-IIIa	Cervix	SKGIIIA	SKG-IIIa
VMRC-RCW	Kidney	VMRCRCW	VMRC-RCW
GI-1	Brain	GI1	GI-1
Hs 746T	Stomach	HS746T	Hs 746T
AU565	Breast	AU565	AU565
OCI-LY-10	Lymph Node	OCILY10	OCI-LY-10
AGS	Stomach	AGS	AGS
RPMI 2650	Septum	RPMI2650	RPMI 2650
MG-63	Bone	MG63	MG-63
MDA-MB-415	Breast	MDAMB415	MDA-MB-415
HCC1395	Breast	HCC1395	HCC1395
HCC1428	Breast	HCC1428	HCC1428
CAL-85-1	Breast	CAL851	CAL-85-1
EFM-192A	Breast	EFM192A	EFM-192A
HCC70	Breast	HCC70	HCC70
MDA-MB-361	Breast	MDAMB361	MDA-MB-361
COLO 824	Breast	COLO824	COLO 824
HCC2218	Breast	HCC2218	HCC2218
ZR-75-1	Breast	ZR751	ZR-75-1
DU4475	Breast	DU4475	DU4475
22Rv1	Prostate	22RV1	22Rv1
RS4;11	Blood	RS411	RS4;11
NCI-H838	Lung	NCIH838	NCI-H838
EBC-1	Lung	EBC1	EBC-1
NCI-H1770	Lung	NCIH1770	NCI-H1770
SJSA-1	Bone	SJSA1	SJSA-1
LOU-NH91	Lung	LOUNH91	LOU-NH91
HCC33	Lung	HCC33	HCC33
NCI-H847	Lung	NCIH847	NCI-H847
NCI-H211	Lung	NCIH211	NCI-H211
NCI-H526	Lung	NCIH526	NCI-H526
NCI-H524	Lung	NCIH524	NCI-H524
IM-95	Stomach	IM95	IM-95
NCI-H1734	Lung	NCIH1734	NCI-H1734
COLO 783	Skin	COLO783	COLO 783
Hs 839.T	Skin	HS839.T	Hs 839.T
NCI-H810	Lung	NCIH810	NCI-H810
Hs 895.T	Skin	HS895.T	Hs 895.T
COLO 792	Skin	COLO792	COLO 792
UACC-257	Skin	UACC257	UACC-257
SK-MEL-31	Skin	SKMEL31	SK-MEL-31
THP-1	Blood	THP1	THP-1
KMS-28BM	Blood	KMS28BM	KMS-28BM
TF-1	Blood	TF1	TF-1
HL-60	Blood	HL60	HL-60
Kasumi-1	Blood	KASUMI1	Kasumi-1
Reh	Blood	REH	Reh
NB-4	Bone Marrow	NB4	NB-4
COLO 699	Lung	COLO699	COLO 699
SW 900	Lung	SW900	SW 900
KP-2	Pancreas	KP2	KP-2
Panc 08.13	Pancreas	PANC08.13	Panc 08.13
SNU-899	Larynx	SNU899	SNU-899
SNU-1076	Larynx	SNU1076	SNU-1076
HSC-3	Tongue	HSC3	HSC-3
HSC-4	Tongue	HSC4	HSC-4
OSC-19	Tongue	OSC19	OSC-19
OSC-20	Tongue	OSC20	OSC-20
BICR 31	Tongue	BICR31	BICR 31
BICR 78	Oral Cavity	BICR78	BICR 78
DOK	Tongue	DOK	DOK
SCC-25	Tongue	SCC25	SCC-25
SCC-9	Tongue	SCC9	SCC-9
Ca9-22	Oral Cavity	CA922	Ca9-22
HO-1-N-1	Oral Mucosa	HO1N1	HO-1-N-1
HO-1-u-1	Oral Cavity	HO1U1	HO-1-u-1
HSC-2	Oral Cavity	HSC2	HSC-2
KON	Oral Cavity	KON	KON
SAS	Tongue	SAS	SAS
SKN-3	Oral Cavity	SKN3	SKN-3
SAT	Oral Cavity	SAT	SAT
BICR 16	Tongue	BICR16	BICR 16
HCC2998	Colon	HCC2998	HCC2998
SNU-C5	Colon	SNUC5	SNU-C5
A-253	Skin	A253	A-253
